super owl:Thing
owl:Thing Activity
owl:Thing Agent
owl:Thing Algorithm
owl:Thing Altitude
owl:Thing AnatomicalStructure
owl:Thing Area
owl:Thing Award
owl:Thing Biomolecule
owl:Thing Blazon
owl:Thing Browser
owl:Thing ChartsPlacements
owl:Thing ChemicalSubstance
owl:Thing Cipher
owl:Thing Colour
owl:Thing Currency
owl:Thing Demographics
owl:Thing Depth
owl:Thing Device
owl:Thing Diploma
owl:Thing Disease
owl:Thing ElectionDiagram
owl:Thing ElectricalSubstation
owl:Thing EthnicGroup
owl:Thing Event
owl:Thing FileSystem
owl:Thing Flag
owl:Thing Food
owl:Thing GeneLocation
owl:Thing GrossDomesticProduct
owl:Thing GrossDomesticProductPerCapita
owl:Thing Holiday
owl:Thing Identifier
owl:Thing Language
owl:Thing List
owl:Thing MeanOfTransportation
owl:Thing Media
owl:Thing MedicalSpecialty
owl:Thing Medicine
owl:Thing Name
owl:Thing PersonFunction
owl:Thing Place
owl:Thing Population
owl:Thing Protocol
owl:Thing PublicService
owl:Thing Relationship
owl:Thing Species
owl:Thing SportCompetitionResult
owl:Thing SportsSeason
owl:Thing Spreadsheet
owl:Thing StarCluster
owl:Thing Statistic
owl:Thing Tank
owl:Thing TimePeriod
owl:Thing TopicalConcept
owl:Thing UnitOfWork
owl:Thing Unknown
owl:Thing Work
owl:Thing cidoccrm:E4_Period
owl:Thing d0:Activity
owl:Thing foaf:Image
owl:Thing foaf:Person
owl:Thing geo:SpatialThing
owl:Thing gml:_Feature
owl:Thing rdf:Property
owl:Thing skos:Concept
owl:Thing skos:OrderedCollection
Activity Game
Activity Sales
Activity Sport
Agent Deity
Agent Employer
Agent Family
Agent FictionalCharacter
Agent Organisation
Agent Person
AnatomicalStructure Artery
AnatomicalStructure BloodVessel
AnatomicalStructure Bone
AnatomicalStructure Brain
AnatomicalStructure Embryology
AnatomicalStructure Ligament
AnatomicalStructure Lymph
AnatomicalStructure Muscle
AnatomicalStructure Nerve
AnatomicalStructure Vein
Award Decoration
Award NobelPrize
Biomolecule Enzyme
Biomolecule Gene
Biomolecule Hormone
Biomolecule Lipid
Biomolecule Polysaccharide
Biomolecule Protein
ChemicalSubstance ChemicalCompound
ChemicalSubstance ChemicalElement
ChemicalSubstance Drug
ChemicalSubstance Mineral
Device Battery
Device Camera
Device Engine
Device InformationAppliance
Device Instrument
Device MobilePhone
Device Robot
Device Weapon
Event Competition
Event LifeCycleEvent
Event NaturalEvent
Event PenaltyShootOut
Event SocietalEvent
Food Beverage
Food Cheese
GeneLocation HumanGeneLocation
GeneLocation MouseGeneLocation
Identifier TopLevelDomain
Language ProgrammingLanguage
List TrackList
MeanOfTransportation Aircraft
MeanOfTransportation Automobile
MeanOfTransportation Locomotive
MeanOfTransportation MilitaryVehicle
MeanOfTransportation Motorcycle
MeanOfTransportation On-SiteTransportation
MeanOfTransportation Rocket
MeanOfTransportation Ship
MeanOfTransportation SpaceShuttle
MeanOfTransportation SpaceStation
MeanOfTransportation Spacecraft
MeanOfTransportation Train
MeanOfTransportation TrainCarriage
MeanOfTransportation Tram
Name GivenName
Name Surname
PersonFunction PoliticalFunction
PersonFunction Profession
Place ArchitecturalStructure
Place CelestialBody
Place Cemetery
Place ConcentrationCamp
Place CountrySeat
Place Garden
Place HistoricPlace
Place Mine
Place NaturalPlace
Place Park
Place PopulatedPlace
Place ProtectedArea
Place SiteOfSpecialScientificInterest
Place WineRegion
Place WorldHeritageSite
Species Archaea
Species Bacteria
Species Eukaryote
SportCompetitionResult OlympicResult
SportCompetitionResult SnookerWorldRanking
SportsSeason MotorsportSeason
SportsSeason SportsTeamSeason
TimePeriod CareerStation
TimePeriod GeologicalPeriod
TimePeriod HistoricalPeriod
TimePeriod PeriodOfArtisticStyle
TimePeriod PrehistoricalPeriod
TimePeriod ProtohistoricalPeriod
TimePeriod Reign
TimePeriod Tenure
TimePeriod Year
TimePeriod YearInSpaceflight
TopicalConcept AcademicSubject
TopicalConcept CardinalDirection
TopicalConcept Fashion
TopicalConcept Genre
TopicalConcept Ideology
TopicalConcept MathematicalConcept
TopicalConcept PhilosophicalConcept
TopicalConcept PoliticalConcept
TopicalConcept ScientificConcept
TopicalConcept Standard
TopicalConcept SystemOfLaw
TopicalConcept Tax
TopicalConcept Taxon
TopicalConcept TheologicalConcept
TopicalConcept Type
UnitOfWork Case
UnitOfWork Project
Unknown WikimediaTemplate
Work Artwork
Work Cartoon
Work CollectionOfValuables
Work Database
Work Document
Work Film
Work LineOfFashion
Work MusicalWork
Work RadioProgram
Work Software
Work TelevisionEpisode
Work TelevisionSeason
Work TelevisionShow
Work Website
Work WrittenWork
Work foaf:Document
Game BoardGame
Game CardGame
Sport Athletics
Sport TeamSport
Family NobleFamily
FictionalCharacter ComicsCharacter
FictionalCharacter DisneyCharacter
FictionalCharacter MythologicalFigure
FictionalCharacter NarutoCharacter
FictionalCharacter SoapCharacter
Organisation Broadcaster
Organisation Company
Organisation EducationalInstitution
Organisation EmployersOrganisation
Organisation GeopoliticalOrganisation
Organisation GovernmentAgency
Organisation Group
Organisation InternationalOrganisation
Organisation Legislature
Organisation MilitaryUnit
Organisation Non-ProfitOrganisation
Organisation Parliament
Organisation PoliticalParty
